2025-03-27 03:39:56 [INFOS] [ForgeModLoader] Forge Mod Loader version 6.4.45.953 for Minecraft 1.6.4 loading
2025-03-27 03:39:56 [INFOS] [ForgeModLoader] Java is Java HotSpot(TM) 64-Bit Server VM, version 1.7.0_80, running on Windows 8.1:amd64:6.3, installed at C:\Program Files\Java\jdk1.7.0_80\jre
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Java classpath at launch is ..\bin\minecraft;..\src\minecraft;..\lib;..\lib\asm-7.3.1-NG-SNAPSHOT.jar;..\lib\asm-all-6.0_BETA.jar;..\lib\asm-commons-7.3.1-NG-SNAPSHOT.jar;..\lib\asm-debug-all-4.1.jar;..\lib\asm-tree-7.3.1-NG-SNAPSHOT.jar;..\lib\asm-util-7.3.1-NG-SNAPSHOT.jar;..\lib\commons-codec-1.6.jar;..\lib\commons-logging-1.1.1.jar;..\lib\customgalacticraft-1.0.jar;..\lib\customnpc-1.0.jar;..\lib\flansmods-4.1.1.jar;..\lib\fluent-hc-4.2.5.jar;..\lib\forge.jar;..\lib\gson-2.2.2.jar;..\lib\httpclient-4.2.5.jar;..\lib\httpclient-cache-4.2.5.jar;..\lib\httpcore-4.2.4.jar;..\lib\httpmime-4.2.5.jar;..\lib\icbm.jar;..\lib\jackson-annotations-2.4.0.jar;..\lib\jackson-core-2.4.0.jar;..\lib\jackson-databind-2.4.0.jar;..\lib\jsonmodel-1.0-api.jar;..\lib\lzma-0.0.1.jar;..\lib\micdoodlecore-1.6.4-2.0.14.1098.jar;..\lib\nationsgui-forge-1.8.0.jar;..\lib\ngbibliocraft-1.5.5.jar;..\lib\ngbrowser.jar;..\lib\ngcontent-1.0-forge.jar;..\lib\ngelectricity-1.0-forge.jar;..\lib\nglib-1.0.jar;..\lib\ngnoel.jar;..\lib\ngpams-1.0.jar;..\lib\ngupgrades-1.0.jar;..\lib\ngvehicles-1.0.jar;..\lib\ue.jar;..\jars\minecraft_server.jar;..\jars\versions\1.6.4\1.6.4.jar;..\lib;..\lib\asm-7.3.1-NG-SNAPSHOT.jar;..\lib\asm-all-6.0_BETA.jar;..\lib\asm-commons-7.3.1-NG-SNAPSHOT.jar;..\lib\asm-debug-all-4.1.jar;..\lib\asm-tree-7.3.1-NG-SNAPSHOT.jar;..\lib\asm-util-7.3.1-NG-SNAPSHOT.jar;..\lib\commons-codec-1.6.jar;..\lib\commons-logging-1.1.1.jar;..\lib\customgalacticraft-1.0.jar;..\lib\customnpc-1.0.jar;..\lib\flansmods-4.1.1.jar;..\lib\fluent-hc-4.2.5.jar;..\lib\forge.jar;..\lib\gson-2.2.2.jar;..\lib\httpclient-4.2.5.jar;..\lib\httpclient-cache-4.2.5.jar;..\lib\httpcore-4.2.4.jar;..\lib\httpmime-4.2.5.jar;..\lib\icbm.jar;..\lib\jackson-annotations-2.4.0.jar;..\lib\jackson-core-2.4.0.jar;..\lib\jackson-databind-2.4.0.jar;..\lib\jsonmodel-1.0-api.jar;..\lib\lzma-0.0.1.jar;..\lib\micdoodlecore-1.6.4-2.0.14.1098.jar;..\lib\nationsgui-forge-1.8.0.jar;..\lib\ngbibliocraft-1.5.5.jar;..\lib\ngbrowser.jar;..\lib\ngcontent-1.0-forge.jar;..\lib\ngelectricity-1.0-forge.jar;..\lib\nglib-1.0.jar;..\lib\ngnoel.jar;..\lib\ngpams-1.0.jar;..\lib\ngupgrades-1.0.jar;..\lib\ngvehicles-1.0.jar;..\lib\ue.jar;..\jars\libraries\net\java\jinput\jinput\2.0.5\jinput-2.0.5.jar;..\jars\libraries\org\lwjgl\lwjgl\lwjgl-platform\2.9.0\lwjgl-platform-2.9.0-natives-windows.jar;..\jars\libraries\org\apache\commons\commons-lang3\3.1\commons-lang3-3.1.jar;..\jars\libraries\com\paulscode\libraryjavasound\20101123\libraryjavasound-20101123.jar;..\jars\libraries\net\sf\jopt-simple\jopt-simple\4.5\jopt-simple-4.5.jar;..\jars\libraries\com\google\guava\guava\14.0\guava-14.0.jar;..\jars\libraries\lzma\lzma\0.0.1\lzma-0.0.1.jar;..\jars\libraries\com\paulscode\codecjorbis\20101023\codecjorbis-20101023.jar;..\jars\libraries\org\bouncycastle\bcprov-jdk15on\1.47\bcprov-jdk15on-1.47.jar;..\jars\libraries\com\paulscode\soundsystem\20120107\soundsystem-20120107.jar;..\jars\libraries\com\paulscode\librarylwjglopenal\20100824\librarylwjglopenal-20100824.jar;..\jars\libraries\org\scala-lang\scala-library\2.10.2\scala-library-2.10.2.jar;..\jars\libraries\org\lwjgl\lwjgl\lwjgl_util\2.9.0\lwjgl_util-2.9.0.jar;..\jars\libraries\org\scala-lang\scala-compiler\2.10.2\scala-compiler-2.10.2.jar;..\jars\libraries\net\java\jutils\jutils\1.0.0\jutils-1.0.0.jar;..\jars\libraries\org\ow2\asm\asm-debug-all\4.1\asm-debug-all-4.1.jar;..\jars\libraries\org\lwjgl\lwjgl\lwjgl\2.9.0\lwjgl-2.9.0.jar;..\jars\libraries\commons-io\commons-io\2.4\commons-io-2.4.jar;..\jars\libraries\net\sourceforge\argo\argo\2.25\argo-2.25.jar;..\jars\libraries\com\google\code\gson\gson\2.2.2\gson-2.2.2.jar;..\jars\libraries\com\paulscode\codecwav\20101023\codecwav-20101023.jar;..\jars\libraries\net\java\jinput\jinput-platform\2.0.5\jinput-platform-2.0.5-natives-windows.jar;..\jars\libraries\net\minecraft\launchwrapper\1.8\launchwrapper-1.8.jar
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Java library path at launch is C:\Program Files\Java\jdk1.7.0_80\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files\Java\jdk1.7.0_80\bin;C:\Program Files (x86)\VMware\VMware Player\bin\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\Git\cmd;C:\Program Files\NVIDIA Corporation\NVIDIA app\NvDLISR;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Python27;C:\Program Files\Java\jdk1.7.0_80\bin;C:\Users\poula\AppData\Local\Microsoft\WindowsApps;C:\Program Files\gradle-3.0\bin;C:\Python27;C:\Program Files\openssl-1.1.1-master\openssl-1.1.1-master;C:\Users\poula\AppData\Local\Programs\Microsoft VS Code\bin;C:\Python27;;.
2025-03-27 03:39:56 [INFOS] [ForgeModLoader] Managed to load a deobfuscated Minecraft name- we are in a deobfuscated environment. Skipping runtime deobfuscation
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Instantiating coremod class FMLCorePlugin
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Enqueued coremod FMLCorePlugin
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Instantiating coremod class FMLForgePlugin
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Enqueued coremod FMLForgePlugin
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] All fundamental core mods are successfully located
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Discovering coremods
2025-03-27 03:39:56 [INFOS] [ForgeModLoader] Loading tweak class name cpw.mods.fml.common.launcher.FMLInjectionAndSortingTweaker
2025-03-27 03:39:56 [INFOS] [ForgeModLoader] Loading tweak class name cpw.mods.fml.common.launcher.FMLDeobfTweaker
2025-03-27 03:39:56 [INFOS] [ForgeModLoader] Calling tweak class cpw.mods.fml.common.launcher.FMLInjectionAndSortingTweaker
2025-03-27 03:39:56 [INFOS] [ForgeModLoader] Calling tweak class cpw.mods.fml.common.launcher.FMLInjectionAndSortingTweaker
2025-03-27 03:39:56 [INFOS] [ForgeModLoader] Calling tweak class cpw.mods.fml.relauncher.CoreModManager$FMLPluginWrapper
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Injecting coremod FMLCorePlugin {cpw.mods.fml.relauncher.FMLCorePlugin} class transformers
2025-03-27 03:39:56 [LE PLUS PRÉCIS] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.AccessTransformer
2025-03-27 03:39:56 [INFOS] [STDOUT] Loaded 40 rules from AccessTransformer config file fml_at.cfg
2025-03-27 03:39:56 [LE PLUS PRÉCIS] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.MarkerTransformer
2025-03-27 03:39:56 [LE PLUS PRÉCIS] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.SideTransformer
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Injection complete
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Running coremod plugin for FMLCorePlugin {cpw.mods.fml.relauncher.FMLCorePlugin}
2025-03-27 03:39:56 [PRÉCIS] [ForgeModLoader] Running coremod plugin FMLCorePlugin
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.Block.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockBaseRailLogic.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockButton.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockCactus.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockChest.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockCocoa.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockComparator.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockCrops.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockDoor.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFarmland.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFire.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFlower.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFlowing.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockFluid.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockGrass.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLadder.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLeaves.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLever.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockLog.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockMobSpawner.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockMushroom.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockMycelium.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockNetherStalk.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockOre.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockPane.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockPistonBase.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockPortal.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockPumpkin.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockRailBase.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockRedstoneOre.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockRedstoneWire.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockReed.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockSand.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockSapling.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockSkull.binpatch
2025-03-27 03:39:57 [LE PLUS PRÉCIS] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.block.BlockSnow.binpatch
